class,feature,weight
ENG,bi_rp,1.066051357777094
ENG,bi_rr,-0.5662751885137864
ENG,bi_rs,0.3295165442708229
ENG,bi_rt,-0.21790976592496272
ENG,bi_ru,-0.5466155680940427
ENG,bi_rv,-0.001361518699318535
ENG,bi_rw,-0.6393618666249359
ENG,bi_ry,0.12762750055815356
ENG,bi_rz,-0.06691688317772587
ENG,bi_s-,-0.7141761136566024
ENG,bi_s1,-0.003211225075065376
ENG,bi_s8,-0.011050336757340037
ENG,bi_sa,-0.6688835481201472
ENG,bi_sb,-0.349184260541893
ENG,bi_sc,0.29968685481726
ENG,bi_sd,-0.5574950308904554
ENG,bi_se,0.9824282893304368
ENG,bi_sf,0.33876040666134016
ENG,bi_sg,0.08008856709139105
ENG,bi_sh,0.3600913700319578
ENG,bi_si,0.05837233933004957
ENG,bi_sj,-0.11167390805737303
ENG,bi_sk,0.3410056576253852
ENG,bi_sl,0.21418400986896532
ENG,bi_sm,-0.36879280225705124
ENG,bi_sn,-0.03821644343437907
ENG,bi_so,0.4480416088250676
ENG,bi_sp,0.9287598885356906
ENG,bi_sq,-0.23209839663162718
ENG,bi_sr,-0.0645795674213687
ENG,bi_ss,1.071237591112893
ENG,bi_st,1.3011654038726683
ENG,bi_su,-0.11463011655334124
ENG,bi_sw,-0.17251331171715015
ENG,bi_sx,-0.649439959763216
ENG,bi_sy,-0.27370698588565334
ENG,bi_t',0.3018155947297741
ENG,bi_t-,0.7037197909277916
ENG,bi_t2,-0.0001873509644227155
ENG,bi_t3,0.0
ENG,bi_t^,-0.07347875620897168
ENG,bi_ta,0.058072947752468164
ENG,bi_tb,0.08335900374012693
ENG,bi_tc,0.4743603414770492
ENG,bi_td,0.16394460280280904
ENG,bi_te,0.15436124446874783
ENG,bi_tf,0.6263198774019354
ENG,bi_th,0.8499564964275893
ENG,bi_ti,0.16002817691102442
ENG,bi_tj,-1.1511608905212571
ENG,bi_tl,0.42285440483745457
ENG,bi_tm,0.23398328990202721
ENG,bi_tn,0.10289956453989851
ENG,bi_to,-0.5708134006634593
ENG,bi_tp,-0.267660994623855
ENG,bi_tr,0.50460951042933
ENG,bi_ts,0.0220752803163114
ENG,bi_tt,0.6550873968649942
ENG,bi_tu,-0.8250454527066078
ENG,bi_tv,0.6170485111118118
ENG,bi_tw,-0.46601277269231534
ENG,bi_ty,1.1125889647272433
ENG,bi_tz,-0.3564930536935539
ENG,bi_u',0.40298912366077133
ENG,bi_u-,-0.15291857360806185
ENG,bi_u3,-0.009185035622863304
ENG,bi_ua,0.7777357732613649
ENG,bi_ub,-0.03379288445570192
ENG,bi_uc,-0.24219061071401632
ENG,bi_ud,0.2705343107171584
ENG,bi_ue,0.6402852565207193
ENG,bi_uf,0.0
ENG,bi_ug,-0.5560193146796036
ENG,bi_uh,-0.8720096352367935
